Text,Parsed
"Green Weekly Triangle on FNFG,....Scaling at 8.22  ","[['Green Weekly Triangle', 'ORG'], ['8.22', 'CARDINAL']]"
"FAF - ong  16.92. Trailing Stop  22.31 from 8 prior Stops of 22.04, 16.92, 16.40 ... 15.17 and 15.10 -  ","[['FAF - ong', 'PERSON'], ['16.92', 'CARDINAL'], ['22.31', 'CARDINAL'], ['8', 'CARDINAL'], ['22.04', 'CARDINAL'], ['16.92', 'CARDINAL'], ['16.40', 'CARDINAL'], ['15.17', 'CARDINAL'], ['15.10', 'CARDINAL']]"
"SWY - inside day - held 50 sma, rsi holding above 40 , looks like counter-trend move","[['50', 'CARDINAL'], ['40', 'CARDINAL']]"
"Despite weakness in AAP, SPY didn't fill 2day's gap - reversed a mere 0.13 away.  Every stock out there outperforming AAP these days","[['AAP', 'ORG'], ['2day', 'DATE'], ['0.13', 'CARDINAL'], ['AAP', 'ORG'], ['these days', 'DATE']]"
IPX  Over 22.15  ,"[['IPX', 'ORG'], ['22.15', 'CARDINAL']]"
MY   Over 28.25 or 28.50  ,"[['Over 28.25', 'CARDINAL'], ['28.50', 'CARDINAL']]"
XXIA Over 18.00  ,"[['XXIA', 'PERSON'], ['18.00', 'CARDINAL']]"
user SHOT YHOO TO 0!!!!!,[]
"WPI - buying looks counter-trend, possible bear wedge, wont be happy if it closes 2-3 days above 50sma, will have to re-evaluate if it does","[['2-3 days', 'DATE'], ['50sma', 'CARDINAL']]"
MON - and monthly - game on...  ,"[['MON', 'ORG'], ['monthly', 'DATE']]"
"HA EPS estimates being slashed as squeezed stock crash lands, looking for low 5's  ","[['HA EPS', 'ORG'], ['5', 'CARDINAL']]"
"TSO Was long now crack spreads say low 30's = Short, VO good short too!  ","[['TSO', 'ORG'], ['30', 'DATE'], ['VO', 'GPE']]"
"AAP No pain and no gain, will stay above 500 (mostly) but not higher than 580 and go as low as 470  ","[['500', 'CARDINAL'], ['580', 'CARDINAL'], ['470', 'CARDINAL']]"
GEOY Should be trading at: 41.09 as each share worth 1.425 shares of DGI (28.84) x 1.425 = 41.09:  ,"[['GEOY', 'ORG'], ['41.09', 'CARDINAL'], ['1.425', 'CARDINAL'], ['DGI', 'ORG'], ['28.84', 'CARDINAL'], ['1.425', 'CARDINAL'], ['41.09', 'CARDINAL']]"
China is FIX ing itself STDY,"[['China', 'GPE'], ['STDY', 'ORG']]"
CHK Good Info user: user S&P over 1470 and this thing rips IMO,"[['CHK Good Info', 'ORG'], ['1470', 'DATE']]"
"with a name like SkyPeople Fruit Juice, SP is going to be the next AAP. just wait and see.","[['SkyPeople Fruit Juice', 'ORG'], ['SP', 'ORG'], ['AAP', 'ORG']]"
"WH consolidating at the highs, with gap support immediately under the price. -  from  ","[['WH', 'ORG']]"
 MT BEAV --- all setting up for possible higher prices,"[['MT BEAV', 'ORG']]"
MGM Caught in a ange user   ,"[['MGM', 'ORG']]"
New post - I could have Peter ynch'd this stock  MD,"[['Peter', 'PERSON'], ['MD', 'ORG']]"
FSC goes ex-dividend tomorrow paying monthly 0.0958 per share with next payment on Jan. 31st with 10.60% yield,"[['FSC', 'ORG'], ['tomorrow', 'DATE'], ['monthly', 'DATE'], ['0.0958', 'CARDINAL'], ['Jan. 31st', 'DATE'], ['10.60%', 'PERCENT']]"
user 3DTradingtrader I do have 3.1Mio to expend and race up any offer for DEPO,"[['3.1Mio', 'CARDINAL'], ['DEPO', 'PRODUCT']]"
VOXX a user stock. Kudos to you my friend!,[]
"MCP Performing as expected, so many red flag raised on that one over last few months, so many here could say I told you so...","[['MCP Performing', 'ORG'], ['one', 'CARDINAL'], ['last few months', 'DATE']]"
"SWY - *WSJ: Cerberus, Supervalu Strike Deal - Sources - may put a bid under SWY","[['Cerberus', 'PRODUCT'], ['SWY', 'ORG']]"
"SE SHOT CECO, SM, ACI, DMND, NS, GCY, BBG, EF, TM, EOC, XCO, VCCF, PQ, AXAS, PST, P, KCG, MNTA, NAV, PAC","[['SE SHOT CECO', 'ORG'], ['SM', 'ORG'], ['ACI', 'ORG'], ['DMND', 'GPE'], ['NS', 'ORG'], ['GCY', 'ORG'], ['BBG', 'ORG'], ['EF', 'ORG'], ['TM', 'ORG'], ['EOC', 'ORG'], ['XCO', 'ORG'], ['VCCF', 'ORG'], ['PQ', 'PERSON'], ['AXAS', 'ORG'], ['P', 'ORG'], ['KCG', 'ORG'], ['MNTA', 'ORG'], ['NAV', 'ORG'], ['PAC', 'ORG']]"
HPQ in the 16.50 calls for .04!,"[['HPQ', 'ORG'], ['16.50', 'CARDINAL'], ['.04', 'PRODUCT']]"
AAP daily pop then vomit in motion...,"[['AAP', 'ORG'], ['daily', 'DATE']]"
"MCP don't catch that knife, if you think it will survive define risk buy some January 2015 EAP option and forget about it till then...","[['MCP', 'ORG'], ['some January 2015', 'DATE']]"
"PX - ong  9.01. Moved the Trailing Stop to 13.30 from 3 Stops of 9.01, 7.78 & 6.55 -  ","[['PX', 'ORG'], ['13.30', 'CARDINAL'], ['3', 'CARDINAL'], ['9.01', 'CARDINAL'], ['7.78', 'CARDINAL'], ['6.55', 'CARDINAL']]"
AAP ... I don't see any more than 1 up 3min candle in a row so far this am.,"[['more than 1', 'CARDINAL']]"
"AAP about to go red, amazing how many times that pattern can repeat over and over...","[['AAP', 'ORG']]"
user u didn't miss it if it is still going lower :) MCP,"[['MCP', 'ORG']]"
GDOT making a new higher high. MACD bullish cross + OBV trending upwards.Time to fill this gap.   ,[]
Back to a full size position in ZNGA here,"[['ZNGA', 'PERSON']]"
FCE triggered Tues gapped Wed so today IMO do not have to think - you just take profits   ,"[['FCE', 'ORG'], ['today', 'DATE']]"
"Goodbye FAF, acting weak, I've never liked you anyway - NEXT",[]
not likin MSFT neg dvrgnce+hammer today goin into quadruple bottom. Still have some longs w/ stop  ,"[['today', 'DATE']]"
WFC If they miss I will add,[]
BAC wait for it to setup again. ooks like it will retest 10.66 for sure.,"[['ooks', 'PERSON'], ['10.66', 'CARDINAL']]"
"MCP you had a lot of red flags, but when the CEO was abruptly fired without a permanent replacement this should have got your attention...","[['MCP', 'ORG']]"
AAP gonna bounce hard off 516,"[['AAP', 'ORG'], ['516', 'CARDINAL']]"
GS is looking super strong.,"[['GS', 'ORG']]"
wait to you see what they do w/schools in 2013 user: The JMBA airport locations are generally packed. Good news user,"[['2013', 'DATE']]"
GS wants higher,"[['GS', 'ORG']]"
"AAP watch CS, it's a tell for AAP imo!","[['AAP', 'ORG'], ['CS', 'ORG'], ['AAP', 'ORG']]"
BK - added to long,"[['BK', 'ORG']]"
user: long a few NFX 100 calls at .27 expire tomorrow out at .40 +48% no need to be greedy with them expiring tomorrow,"[['NFX', 'ORG'], ['.27 expire', 'DATE'], ['tomorrow', 'DATE'], ['tomorrow', 'DATE']]"
JNP - added to long,"[['JNP', 'ORG']]"
CEE 5 min retest   ,"[['CEE', 'ORG']]"
AAP - trimmed 1/2 of our short exposure 516 level,"[['1/2', 'CARDINAL'], ['516', 'CARDINAL']]"
AAP lower highs and lower lows intraday...where is big near term support?,"[['AAP', 'ORG']]"
The cult of Apple is dying -  AAP,"[['Apple', 'ORG'], ['AAP', 'ORG']]"
ZION...looks to be basing under breakout...could touch bottom of triangle though  ,[]
HPQ ocket since Noon!,"[['HPQ', 'ORG'], ['Noon', 'WORK_OF_ART']]"
HPQ ook at that Volume too! Very Nice! 16.50 Calls Do it!,"[['HPQ', 'ORG'], ['16.50', 'CARDINAL']]"
"X - took long exposure down  25.95 - 26 area - still very bullish on T look, stock has a rip - n - dip rhythm, want dry powder 2 trade","[['25.95', 'CARDINAL'], ['2', 'CARDINAL']]"
"user sweet money, I need another 1.8% to scaling in Sell Short again CSN","[['another 1.8%', 'PERCENT'], ['CSN', 'ORG']]"
HPQ Man these call options are so Cheap!,[]
user: user SHOT YHOO TO 0!!!!! ONE DOWN 19 TO GO lololol,"[['ONE', 'CARDINAL'], ['19', 'CARDINAL']]"
"user I lost 15% of my holdings when it first opened, but have recouped it all through AAP and now FB. Buying more of both","[['15%', 'PERCENT'], ['first', 'ORDINAL'], ['AAP', 'ORG'], ['FB', 'ORG']]"
TE - new short on board for utility sector,[]
"user Tr8r_x nice face, check the next HBAN Green Weekly Triangle (Sell Short)",[]
"Green Weekly Triangle on HBAN,....Sell Short at 6.69  ","[['Green Weekly Triangle', 'ORG'], ['6.69', 'CARDINAL']]"
"user yea, but CSN in just one in my whole portfolio, when you scale, you always can fix the cost and ending with profits","[['CSN', 'ORG']]"
BAC Out 11.78 waiting for a pullback.. if we have one today.. ;-),"[['BAC Out', 'PRODUCT'], ['11.78', 'CARDINAL'], ['one', 'CARDINAL'], ['today', 'DATE']]"
AAP moving above 525 pivot today is bullish for tomorrow.,"[['AAP', 'ORG'], ['525', 'CARDINAL'], ['today', 'DATE'], ['tomorrow', 'DATE']]"
AAP getting my attention. Showing some strength. Might actually jump in.,"[['AAP', 'ORG']]"
ES SPY SPX can we hold this breakout on the ES futures?,"[['ES SPY SPX', 'ORG'], ['ES', 'ORG']]"
AAP Someone catch a leak of some news at 2:30 or what???,"[['2:30', 'TIME']]"
WFM - not getting much lift from the rally - looking like a possible bear flag - adding to short,[]
"ed Weekly Triangle on HEK,...Net Profit  4,539.00 (10.84%)  ","[['Weekly Triangle on HEK,...', 'ORG'], ['4,539.00', 'CARDINAL'], ['10.84%', 'PERCENT']]"
V interesting reversal today,"[['today', 'DATE']]"
"BAC 100% Cash -->I will never listen to the sirens say Keep r Trade Overnight, it will Gapp Never... I Promise ;-)","[['BAC 100%', 'PERCENT'], ['Overnight', 'TIME'], ['Gapp Never', 'PERSON']]"
HPQ is 17.50 too much to ask for tomorrow??? :),"[['HPQ', 'ORG'], ['17.50', 'CARDINAL'], ['tomorrow', 'DATE']]"
SDJPY No breakout on the close. isk rally with equity traders in front of their skis into earnings.  ES SPY SPX,"[['ES SPY SPX', 'ORG']]"
Market underperform day thanks to my DDD + SSYS positions.  Staying long 3D printing.  AAP kept me green.  More upside to come.,"[['DDD +', 'ORG'], ['SSYS', 'ORG'], ['AAP', 'ORG']]"
"Green Weekly Triangle on HEK,...Sell Short at 3.96  ","[['Green Weekly Triangle', 'ORG'], ['3.96', 'CARDINAL']]"
"FS - Solar Market to ise 22 Percent in 2013, Deutsche Bank Predicts  ","[['FS - Solar Market', 'ORG'], ['22 Percent', 'PERCENT'], ['2013', 'DATE'], ['Deutsche Bank', 'ORG']]"
nice! - user: Huge volume in MS breakout today.,"[['today', 'DATE']]"
The price action is saying that AAP is not going to die after earnings. It had multiple chances to break 500 but didn't.,"[['AAP', 'ORG'], ['500', 'CARDINAL']]"
BN BISH!!! to announce a 15% increase in Holiday sales  ,"[['BN', 'ORG'], ['15%', 'PERCENT'], ['Holiday', 'DATE']]"
CS nice move above the 50 and 200 DMA. Nice base structure on a daily/weekly pattern.,"[['50', 'CARDINAL'], ['200', 'CARDINAL'], ['daily', 'DATE'], ['weekly', 'DATE']]"
"OCZ -CES 2013, as Vegas, Nevada, January 8th through 11th (in progress)!","[['OCZ', 'ORG'], ['2013', 'DATE'], ['Vegas', 'GPE'], ['Nevada', 'GPE'], ['January 8th through 11th', 'DATE']]"
user: T user: user: GAME ON!? #readyscoregoals. This company just gets it... #CanadianGrown ,"[['GAME ON!', 'ORG']]"
don't tell everyone ... user: That's a nice looking diverse list of 52-week highs: JNJ MMM GS OC F WAG DE,"[['52-week', 'DATE'], ['MMM GS OC F WAG DE', 'PRODUCT']]"
Alarm bells should ring for DDD investors. ed flags are highlighted in this detailed and well researched article  ,"[['DDD', 'ORG']]"
AAP Marketing Chief Phil Schiller will  not resort to a cheaper iPhone to expand its market share ETES,"[['AAP', 'ORG'], ['Phil Schiller', 'PERSON']]"
"Squeeze squeeze slow grind higher continuing SPY 147.45 ES_F 1471 , WFC better deliver the goods tomorrow...","[['WFC', 'PRODUCT'], ['tomorrow', 'DATE']]"
HSA It always comes Back.....,"[['HSA', 'ORG']]"
user HSA Good Day?,"[['HSA', 'ORG']]"
YHOO Cramer kiss of death thanks bro. Can I get a BAC and JDS Cramer nudge? user kifmonster,"[['Cramer', 'PERSON'], ['JDS Cramer', 'PERSON'], ['kifmonster', 'PERSON']]"
MGM held this long term resistance: user: MGM Caught in a ange user   ,"[['MGM', 'ORG'], ['MGM', 'ORG']]"
AON Continuation on good volume  ,"[['AON Continuation', 'ORG']]"
NFX  Over 28.20 or 28.40  ,"[['NFX', 'ORG'], ['28.20', 'CARDINAL'], ['28.40', 'CARDINAL']]"
ZC Over 4.75 on good volume  ,"[['4.75', 'MONEY']]"
ES SPX SPY star on 4hour,"[['ES SPX SPY', 'ORG'], ['4hour', 'CARDINAL']]"
A doji like candle close today on F may signify possible retracement between 100% and 61.8% Fib levels. Watching closely for more bull run.,"[['doji', 'FAC'], ['today', 'DATE'], ['between 100%', 'PERCENT'], ['61.8%', 'PERCENT']]"
SWHC will continue to accumulate more mar 9 calls on any pull back below 8.10,"[['SWHC', 'ORG'], ['mar 9', 'DATE'], ['8.10', 'PRODUCT']]"
ISIS - with continued volume this can go much higher 13.22 to 14 is easy for this - it has some big green moves,"[['13.22', 'CARDINAL'], ['14', 'CARDINAL']]"
"user TSO Don't be fooled by one day moves esp. after a large drop, the trend and my stop says I'm still good.","[['TSO', 'ORG'], ['one day', 'DATE']]"
SM - Decent base. ook poised to break out.,"[['SM - Decent', 'ORG']]"
user: NFX  -- I let my  wkly 100 CAS go from VEY green to ed.  Not good. But will hold them,"[['NFX', 'ORG'], ['wkly 100', 'LAW'], ['CAS', 'ORG'], ['VEY', 'ORG']]"
TSO user Attached shows Fib and old resistance stopping upward move.  Will stay below both.  ,"[['TSO', 'ORG'], ['Fib', 'PERSON']]"
CGI ove this trucking co. should be bought on any pullback!   ,[]
QCOM Best play on Samsung (Snapdragon) and anti AAP play.  Best tech. play too.  ,"[['QCOM Best', 'ORG'], ['Samsung', 'ORG'], ['Snapdragon', 'ORG'], ['AAP', 'ORG']]"
QCOM Another view w/ blue sky above  ,"[['QCOM Another', 'ORG']]"
Student Debt: A Trillion Dollar Bubble -  SM NNI,"[['SM NNI', 'ORG']]"
COF is approaching key resistance level at 62.92 a break of which could accelerate the stock price  ,"[['COF', 'ORG'], ['62.92', 'CARDINAL']]"
AON has been in an uptrend since July and Thursday's break suggests a continuation of the upmove  ,"[['AON', 'ORG'], ['July', 'DATE'], ['Thursday', 'DATE']]"
GDOT W/ Bullish MACD cross along bullish SI action it should only be a matter of time to take off  ,[]
"BAC failed to break below, uptrend continues","[['BAC', 'ORG']]"
"user: With the Financials (XF) already +4.6% YTD, Wells Fargo WFC might have to deliver the moon today #expectations","[['+4.6%', 'PERCENT'], ['Wells Fargo WFC', 'ORG'], ['today', 'DATE']]"
One small step to send cable TV back to the 80s. Quality content exclusive on NFX. Can't wait for the return of AD.  ,"[['One', 'CARDINAL'], ['the 80s', 'DATE'], ['NFX', 'ORG'], ['AD', 'DATE']]"
ong setup SM  ,"[['ong', 'ORG'], ['SM', 'ORG']]"
user: DDD 3D Systems Wins CNET Best of CES Award for CubeX 3D Printer,"[['DDD 3D Systems', 'ORG'], ['CubeX', 'CARDINAL'], ['3D Printer', 'PRODUCT']]"
COMPQ SPX AAP FB BAC GD SV 5 Characteristics of a successful trader  ,"[['COMPQ SPX AAP FB BAC GD', 'ORG']]"
"NKD and SINA are two breakout stocks on watch list for today.  Buy high, sell higher!","[['NKD', 'ORG'], ['SINA', 'ORG'], ['two', 'CARDINAL'], ['today', 'DATE']]"
msft if it takes out 26.29 it has a gap to fill from jan 2012 ~26  ,"[['msft', 'PERSON'], ['26.29', 'CARDINAL'], ['jan 2012', 'DATE']]"
MS Morgan Stanley Hits Our 1st Bull Signal Target (Called Dec 11)  ,"[['1st', 'ORDINAL'], ['Bull Signal Target', 'ORG'], ['Dec 11', 'DATE']]"
JCP Cash-flow distress That doesn't sound very good... BS downgrade to sell,"[['JCP', 'ORG']]"
Market Wrap Video + Additions to Watch ist  including: AEG DI IPX NG MY ONTY QIH ST XXIA,"[['AEG DI IPX NG', 'ORG'], ['XXIA', 'PERSON']]"
GOOG so far so good in premarket. If the averages help this could get above 745 today.,"[['745', 'CARDINAL'], ['today', 'DATE']]"
HPQ where do you think that new Mutual Fund money is going???,"[['HPQ', 'ORG'], ['Mutual Fund', 'ORG']]"
X adding a little,[]
DK moving out of his Darvas box - keep an eye on volume.,"[['DK', 'ORG'], ['Darvas', 'PERSON']]"
GF Open new position at 35.52 - new uptrend starting  ,"[['35.52', 'CARDINAL']]"
BAC It is the effect of WFC... so it SHOD be over in half-hour... I'm moderately Bullish,"[['WFC', 'PRODUCT'], ['half-hour', 'TIME']]"
user: NG long setup   ,"[['NG', 'ORG']]"
"Trend in outsourcing...workforce...is extremely strong, especially in the medical industry... ASGN has a lot of room to grow. -  Drogen","[['Drogen', 'ORG']]"
AAP climb 525ish then took a small step backward - wedge forming. Breakout is imminent.,"[['AAP', 'ORG'], ['525ish', 'CARDINAL']]"
I hate to do it but reducing DDD position today. Just getting too big in portfolio. Still very bullish.,"[['DDD', 'ORG'], ['today', 'DATE']]"
AAP - took down short exposure by 2/3,"[['AAP', 'ORG'], ['2/3', 'CARDINAL']]"
Would be healthy and desirable for  to eventually put in a little handle/shakeout before climb over present 58.90 pivot STDY,"[['58.90', 'CARDINAL'], ['STDY', 'ORG']]"
"ed Weekly Triangle on MH,...Net Profit  4,895.75 (7.22%)  ","[['Weekly Triangle', 'ORG'], ['MH,', 'DATE'], ['4,895.75', 'CARDINAL'], ['7.22%', 'PERCENT']]"
"its time to put GOOG under the warming lamp and get some heat into it, just languishing for now  ","[['GOOG', 'ORG']]"
"Green Weekly Triangle on MH,....Sell Short at 4.06  ","[['Green Weekly Triangle', 'ORG'], ['MH,', 'DATE'], ['4.06', 'CARDINAL']]"
"GOOG averages trading up, and this is lagging now. Actually near the lows. Not what you want to see. Strong support at 736-737.","[['736', 'CARDINAL']]"
OC osing mkt share to JDS  T now and looking for *much* lower prices. Will miss earnings too!  ,"[['OC', 'ORG'], ['mkt', 'ORG'], ['JDS  T', 'PERSON']]"
WFC I think we go green at some point today,"[['today', 'DATE']]"
user 3DTradingtrader if go over 6.60 I will sell more DEPO,"[['3DTradingtrader', 'CARDINAL'], ['6.60', 'CARDINAL'], ['DEPO', 'PRODUCT']]"
"So much topping action here. Shorting KEY at 8.90, Shorting CAT here at 95 with a stop at 95.6. ike these trades A OT.","[['8.90', 'CARDINAL'], ['CAT', 'ORG'], ['95', 'CARDINAL'], ['95.6', 'CARDINAL']]"
"MDSO - ong  27.51. Trailing Stop  37.00 from 7 prior Stops of 31.30, 30.17, 29.41, 27.86, 27.51, 25.15 and 22.79 -  ","[['MDSO', 'ORG'], ['27.51', 'CARDINAL'], ['37.00', 'CARDINAL'], ['7', 'CARDINAL'], ['31.30', 'CARDINAL'], ['30.17', 'CARDINAL'], ['29.41', 'CARDINAL'], ['27.86', 'CARDINAL'], ['27.51', 'CARDINAL'], ['25.15', 'CARDINAL'], ['22.79', 'CARDINAL']]"
been talking about  low priuced stocks flying- FCE buy was Tuesday  - 30% gain way overbought now  ,"[['FCE', 'ORG'], ['Tuesday', 'DATE'], ['30%', 'PERCENT']]"
And there goes that 520 level on AAP.,"[['520', 'CARDINAL'], ['AAP', 'ORG']]"
WPI - whoopie - that's the stocks nickname,[]
NFX is this developing a HGE cup&handle with pivot at 120?,"[['NFX', 'ORG'], ['HGE', 'ORG'], ['120', 'CARDINAL']]"
DNB Call volume spike ahead of earnings  ,"[['DNB', 'ORG']]"
S have anyone noticed the HGE volume today? If this thing pushes through 6 today we might have a runner for next week.,"[['HGE', 'ORG'], ['today', 'DATE'], ['6 today', 'TIME'], ['next week', 'DATE']]"
"MCP craters, management tells u biz sucks, all sorts of red flags, and some people call that bullish?  bottom? delusionnal.. #youondrugs?","[['MCP', 'ORG']]"
"user IV having a down day today, but take a look at APO, 20 green days in a row since Dec 13th! Now, there's a rip and a tear!","[['IV', 'FAC'], ['today', 'DATE'], ['APO', 'ORG'], ['20 green days', 'DATE'], ['Dec 13th', 'DATE']]"
ST from watch list over lien a bit on volume of 51% of full day average   ,"[['51%', 'PERCENT'], ['full day', 'DATE']]"
"APO 20 green days in a row so far, but no new high yet today.","[['20 green days in a row', 'DATE'], ['today', 'DATE']]"
Not looking for any sustained upward momentum until after next Friday's options expire. Too much interest in holding it down. AAP,"[[""next Friday's"", 'DATE']]"
BAC I hate analyst.. They Scrap a beautiful day :(,[]
The big setup for early next week is GNC. It will probably run into earnings as market expects huge numbers. eports Feb 11 (long),"[['early next week', 'DATE'], ['GNC', 'ORG'], ['Feb 11', 'DATE']]"
BAC at least it' is a resilient stock...,[]
CAT holding that 95 level beautifully today. Cup&Handle from September to January. A good market and this BEAKS OT.,"[['CAT', 'ORG'], ['95', 'CARDINAL'], ['today', 'DATE'], ['September', 'DATE'], ['January', 'DATE'], ['BEAKS', 'ORG']]"
GD Trying to break d/t line after finding support at 200 sma. ikely needs GD to hold 158.5  ,"[['200', 'CARDINAL'], ['ikely', 'ORG'], ['GD', 'PERSON'], ['158.5', 'CARDINAL']]"
F 9.8 is a possibility before market close... so much power under the hood.,"[['F 9.8', 'PRODUCT']]"
"Green Weekly Triangle on KTOS,..pdating  ","[['Green Weekly Triangle', 'ORG']]"
DE Approaching next level to Short back lower - 61.8% Fib and old   ,"[['61.8%', 'PERCENT']]"
F evel II easing a bit but still allowing the possibility of a late day run.,"[['II', 'CARDINAL'], ['late day', 'DATE']]"
AWK En Fuego part 2   ,"[['AWK', 'ORG'], ['2', 'CARDINAL']]"
user welcome to the TK club,"[['TK', 'ORG']]"
GTAT healthy pullback on low volume after a nice run on heavy volume.Positive MACD divergence. ong  ,"[['GTAT', 'ORG'], ['ong', 'ORG']]"
TAB user alexcampbello This is what the street sees and hence lower she goes  ,"[['TAB', 'ORG']]"
sold 3/4 of AN +0.27 (+2.94%) - keeping 1/4 of position overnight,"[['3/4', 'CARDINAL'], ['AN +0.27', 'FAC'], ['+2.94%', 'PERCENT'], ['1/4', 'CARDINAL'], ['overnight', 'TIME']]"
AAP - didn't get the pricing we wanted but added to the short after the close,"[['AAP', 'ORG']]"
Market is looking strong. Think financials will catapult SPX towards 1500 next week. GS BAC,"[['SPX', 'ORG'], ['1500', 'CARDINAL'], ['next week', 'DATE'], ['GS', 'ORG']]"
AN breakout.,[]
HT bearish,[]
"Green Weekly Triangle on DN,....pdating  ","[['Green Weekly Triangle', 'ORG']]"
Demand for breast implants at all-time highs - good or bad for economy? AGN  old wallstrip too  ,"[['AGN', 'ORG'], ['wallstrip', 'ORG']]"
"...offhand, that includes in growth: EN Y SPF MHO ITB AD TTM HTZ DOM WK EMN PO SCA WO FET BCEI FXI HDB EVE ...","[['EN', 'ORG'], ['Y SPF MHO ITB AD', 'PRODUCT'], ['DOM WK EMN PO SCA WO', 'PERSON']]"
Wk #2 perf 13 Stocks for '13: DDD DNKN FT INVN KOS NKD MOV NTSP AX SCCO SCA SSYS V  ,"[['2', 'MONEY'], ['13', 'CARDINAL'], ['13', 'CARDINAL'], ['KOS NKD MOV NTSP AX SCCO SCA SSYS V', 'PERSON']]"
NKD stormed back in week #2 with a 4.29% gain after being the dog in week #1 #13for2013   ,"[['NKD', 'ORG'], ['2', 'MONEY'], ['4.29%', 'PERCENT'], ['week', 'DATE'], ['#1 #', 'MONEY'], ['13for2013', 'MONEY']]"
cstr found support at 26 ema.  nder the 50 sma tho look to short under 26 ema & add on cloud break  ,"[['cstr', 'PERSON'], ['26', 'CARDINAL'], ['ema', 'ORG'], ['50', 'CARDINAL'], ['ema &', 'ORG']]"
pnra missed this one yest on the short side but will short under 50 sma   ,"[['one', 'CARDINAL'], ['50', 'CARDINAL']]"
NKD following FB lead. un to 122-124 before more resistance? user  ,"[['NKD', 'ORG'], ['FB', 'ORG'], ['un', 'ORG'], ['122', 'CARDINAL']]"
"Although sounds random, when AA is down on earnings (like this week) SPX down 0.62% next mo.  ","[['AA', 'ORG'], ['this week', 'DATE'], ['SPX', 'ORG'], ['0.62%', 'PERCENT']]"
"O - short setup if signal fires, like this, it will be a 50sma reject and weekly & monthly time frames look like they are weakening","[['50sma', 'CARDINAL'], ['weekly', 'DATE']]"
IMM didnt come out this XMAS with BB10 so they take over next XMAS - take share from AAP - they smart well timed,"[['IMM', 'ORG'], ['AAP', 'ORG']]"
user ShadowTrade1134 I think it's a fair analogy - VHS beat Beta because it was less expensive. AAP,"[['ShadowTrade1134', 'PERSON']]"
 Bear flag?  from  ,"[['Bear', 'ORG']]"
PCN bull flag & pennant?  from  ,"[['PCN bull flag &', 'ORG']]"
"DNDN: nice vol expansion friday, and may be worth watching for a few bucks.  ","[['DNDN', 'PERSON'], ['friday', 'DATE'], ['a few bucks', 'MONEY']]"
So what I used to do at Borders is called showrooming...i hope this works for TGT...the nature of retail is changing  ,"[['Borders', 'ORG'], ['TGT', 'ORG']]"
AAP Trend emains down and Giving Another Sell Signal...  ,"[['AAP Trend', 'ORG']]"
"user: SV super cheap stock, that appears to be getting ready . to fill a  gap above current price!  >Nice name  2","[['2', 'CARDINAL']]"
"user jmixer INO since Jan 7 it is a green weekly that is why I closed my long at 0.67, my broker doesn't has share to borrow me,....","[['jmixer INO', 'PERSON'], ['Jan 7', 'DATE'], ['weekly', 'DATE']]"
user jmixer I will wait for 0.57 to re-charge again my weapon against INO,"[['0.57', 'CARDINAL']]"
ddd nice st/pennant pattern here.  ook for a breakout   ,"[['ddd', 'ORG']]"
IWD short 15 to 13.50,"[['IWD', 'ORG'], ['15', 'CARDINAL'], ['13.50', 'CARDINAL']]"
AAP - Korea Hot Stocks-G Display falls on talks of Apple order cut -  ,"[['AAP - Korea Hot Stocks-G Display', 'ORG'], ['Apple', 'ORG']]"
Sigh AAP will continue to keep QQQ down. I'd love to see AAP rebound on negative news.,"[['Sigh AAP', 'ORG'], ['AAP', 'ORG']]"
"AAP IMM: Apple reduces component orders for iPhone 5 on weak demand, WSJ says - Party is OVE!","[['AAP', 'ORG'], ['Apple', 'ORG'], ['5', 'CARDINAL'], ['WSJ', 'ORG']]"
AAP i love you but I'm,"[['AAP', 'ORG']]"
Song for AAP bulls  ,[]
"Today could be the day where AAP breaks 500 and the rest of the market doesn't care, what a change... #divorce QQQ SPY","[['Today', 'DATE'], ['the day', 'DATE'], ['AAP', 'ORG'], ['500', 'CARDINAL'], ['SPY', 'PERSON']]"
AAP The only thing you should ask yourself; is today the day to buy those Feb 480 puts...,"[['AAP', 'ORG'], ['today', 'DATE'], ['Feb 480', 'DATE']]"
AAP - 25% of short covered - blows that system would not route to NYSEACA before 0700 EST when offerd below 499,"[['AAP', 'ORG'], ['25%', 'PERCENT'], ['NYSEACA', 'LOC'], ['0700 EST', 'TIME'], ['offerd below', 'PERSON'], ['499', 'CARDINAL']]"
AAP - 1/2 short covered,[]
CS will play lower,"[['CS', 'ORG']]"
well done to those short aapl friday.....gutsy. got the news you needed.,"[['friday', 'DATE']]"
AAP under 500 is a great long term buy.  Ignore the noise.,"[['AAP', 'ORG'], ['500', 'CARDINAL']]"
Thank you AMZN for pricing Fire at 199 in Nov 2011. et's do same with a phone in 13 and the wireless service in 14. Customers WIN!,"[['199', 'CARDINAL'], ['Nov 2011', 'DATE'], ['13', 'CARDINAL'], ['14', 'CARDINAL'], ['WIN', 'ORG']]"
JNP - acting well again - added some back,"[['JNP', 'ORG']]"
"AAP - Bearish News at the Bottom, Or The Start of a New Downleg?  ","[['AAP - Bearish News', 'ORG'], ['Bottom', 'LOC']]"
