Text,Target,Predicted
Mexicoâ€™s president said the country will reduce its crude oil production as part of an agreement with OPEC and otheâ€¦ https://t.co/iI05phgxdG,0,1
BAC shorts better make a decision today... #OBAMA will give another push for continuation tomorrow.,0,0
nice opening strength for AMZN today.  our long trade working nicely.,0,0
The coronavirus selloff has left fund managers nursing losses and local economies without a key source of financing https://t.co/xngaeSXiHH,1,0
"user: AAP Pigs Do Fly!! user slags TC for not listening to shareholders, not buying NFX twitter,or  1Bper wk stock!",0,0
user: Surprising how quiet GMC has gotten on the stream. Been a fabulous performer and still has 25% of the float short.,0,1
"In a sign of receding tensions in international finance, the cost to borrow dollars against other currencies marketâ€¦ https://t.co/VAvMRmY3cR",1,1
GOOG And on enko w/ a PF Box size of 50 it looks like a failed breakout  ,1,0
"GID reached my 1st tgt, 46.75 nxt",0,1
"Sensex opens 1,096 points lower at 27,773, Nifty at 8,063 as selloff in global markets continues on coronavirus sca… https://t.co/WlDRTfQF2R",1,1
Watch list stocks that triggered as new buys today included - WNC DGI NTI XAY IF HTA,0,0
Great move by Guggenheim in hiring ex interim CEO of YHOO...    ,0,0
"AAP setting up for a sell the news tomorrow on Cook speech.  He is no Jobs, market will be disappointed.  Iwatch?  Gimme a break.",1,0
3 horsemen of high beta momo chase FS GMC NFX being slammed a bit here : advanced tell that the new year party is over for the mrkt ?,1,0
"Even as a loan program for small businesses weakened by the coronavirus pandemic expands, the first applicants stilâ€¦ https://t.co/loiAEnfegp",1,1
"I will short CAT under 86.65., I also like CAM short.",1,1
AMN  Yep like I said. Penny stock in the making.,1,1
"Green Weekly Triangle on MH,....Sell Short at 4.06  ",1,1
F 9.8 is a possibility before market close... so much power under the hood.,0,0
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",0,0
user come over to the CS train left the station can jump on in at 29 stop after that moving onto to 29.21,0,0
BAC Better Volume Today than Yesterday !,0,0
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,1,1
"FIO barely red, this stock due for one of it's famous rips higher, keep an eye, I bought some yesterday",0,0
"Coronavirus Pandemic Can Affect Economic Activity In India: Shaktikanta Das
https://t.co/IFj95m4fIj https://t.co/1fPlFmTSoY",1,1
GOOG AAP short positions for days paying off nicely 30+ gians VIDEO   ,1,0
AA i don't like the SPIN on operational cash flow,1,0
"Tourist Industry Sees Crisis Looming From Coronavirus Visa Ban
https://t.co/lcOLAgUiTO",1,1
AAP 458 PM good start for the bear :),1,0
"NFX taking some off here, my 2nd trade",0,1
AAP Another Downgrade !  Broken,1,1
eading stocks analysis updated  Failing breakouts & high vol 50DMA breaks confirm correction. AAP FB DDD ES_F,1,0
GD SV NEM ABX AY P DZZ - The Price of Gold plunges to six-month low  ,1,1
New Blog Post - 'What Could go WONG...And What if Apple is Still eading the Market?'  aapl spy qqq,1,0
AAP note +4 on 30 min opening range this morning short. Still moving lower.   ,1,1
GOOG  I only use Google. Heck I use Google for everything. I don't own the stock but I am still bullish on it.,0,0
AAP don't touch it unless we get a close above 465 with volume (Earnings gap).,1,0
Stopped on rest of GOOG +1.25,1,1
"India's 2019-20 Fuel Demand Growth Worst In Over Two Decades
https://t.co/YfTp4gWwLS",1,1
FNS long a bit,0,0
AAP BAC two trades I'm looking to get involved at the close.,0,0
Bought 1/2 position in SSYS  62.79 going into earnings Monday  ,0,0
Small weekly put position in NFX here,1,1
"Some good, strong follow through early on today on BBY  DNDN   Others that are poised (set up) to move:  ",0,0
VXY Buy SPW 15.75 target near term solars new squeeze zone. VXY to 0.,1,0
  On Jan 24th we posted this video on aapl....no change...be careful...   ,1,1
user:  < Opens door for AAP deal with China Mobile  Sad they are building 4G and not TE,0,0
MTG Cant wait to pull the trigger on that one!!!!,1,1
user Do you have a strategy for setting stop loss on a winning stock?  What about setting at the 10day MA if stock is above FDX?,0,0
"CAT Bingo, it is Bingo everywhere today.",0,1
"SPF ooking for 9's, headed higher with lower rates.  ",0,0
AMZN - still in its uptrend motion. Buy dips.  ,0,0
"WMT - H/S, struggling at the 200dma as well, MM target about 10 handles to that gap fil below   ",1,1
"Sensex Falls Over 400 Points, Nifty Below 8,150 As Markets Give Up Early Gains
https://t.co/zjBF4eSC3G",1,1
"Many merchants still ask customers to sign for card purchases, rankling shoppers who are nervous about the coronaviâ€¦ https://t.co/jfSjiFtJHw",1,1
SPW SunPower Corporation Option bulls make bet on 50% up move by June  ,0,0
"HZNP first step 3,5",0,0
AAP HGE Volume (compared to recently) One big Bull coming back will take through the resistance,0,0
AAP - there is no heavy volume to take this higher. Most likely it will continue to break support  ,1,1
CMG - Still a good low risk/reward short below this descending trend line. Core short is Bear Calls  ,1,1
"ed Weekly Triangle on KWK,.....Scaling p  ",0,0
AMZN scale under 71 +4 looking for under 70 for next scale  ,1,0
DA nice run from entry; moving stop up to breakeven  ,0,0
Scaling into VT Mar 25s calls right now. ight for now. ooks Good. Watch for volume next week.   ,0,0
"AAP ong position in Apple after reaching 503,38 . Maximum of the day. Stop loss 500,4 .",0,0
"Nifty Suffers Worst March Since Inception As Coronavirus Rattle Investors
https://t.co/xk8b9WUU97",1,1
GEVO stock looks bad going to retest 1.80 base and go lower - beware,1,1
"MDSO - ong  27.51. Trailing Stop  38.58 from 10 prior Stops of 37.67, 37.11, 37.00 ... 27.51, 25.15 and 22.79 -  ",0,0
#ContrAlert Don't Panic: Wall Street Is Going Crazy For Student oans -- But It's Not a #Bubble -  SM,1,1
Heard on the Street: Food deliverers such as Grubhub are dependent on the health of ailing restaurants https://t.co/BD1k2lqC8N,1,1
AAP Nothings goes Straight Down or Straight High.. It's the Main Trend AND Volume you have to look for...,1,0
IHS year end operational cash flow declined 27 million vs. 2011. an  8.19% decline,1,0
FS intraday break !!,0,0
AAP positive close above 530 today is bullish. I'll be looking for possible ONG set up.,0,0
Equity Alpha: APH looks awesome  break of 71.25. Great Jan earnings and good consolidation. Tgt 75  ,0,0
HOT - Fundamentals off. More of technical play. More here ->  ,0,0
BAC Back run down to 11.75 area to consolidate.. Sell Off &  Profit Take !,1,1
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",1,1
SBX gap close...that was fast,1,1
sold my amzn stocks... better be flat ^^,1,0
"I will short CAT under 86.65., I also like CAM short.",1,1
Prices for debt from companies including Ford jump on the Fedâ€™s plans to buy new and existing bonds from so-calledâ€¦ https://t.co/lETbtyeyv2,0,0
AN get back down here!!! so silly.,1,1
AAP lower highs and lower lows intraday...where is big near term support?,1,0
AAP if any bulls bought next weeks 450's this morning 1 you are now +100% !!,0,0
NFX moving stop 189.80 now,0,0
"S continues to work well, big breakout, retest, and follow-through, and all on good volume  ",0,0
BAC Based on Tech Analysis we have reach bottom for Today. So it should rise up for the rest of the day (minus reaction for Fed Minutes),0,0
SEV nicely green on red market,0,0
NFX gets exclusive streaming rights to The Hunger Games,0,0
AAP traps works better with a QICK SNAP!. dead bulls and bears IMHO,0,0
"Covered DKS, looks like a long if it can stay above 45.90.",0,0
"Rupee Drops Below 76 Mark Against Dollar Amid Coronavirus Crisis
https://t.co/CKANJR47UG",1,1
I wish TV would die already like all the Newspapers told me  CBS ftw!,0,0
CAT 82 looks very possible imo....  ,1,0
"RT @WSJheard: Canâ€™t get your hands on a Nintendo console to play the new version of ""Animal Crossing""? You could always buy Nintendo stockâ€¦",0,0
GEVO still holding for breakout !!,0,0
Told you on SPW  I still target 16 and higher  ,0,0
"user: who wants to buy NFX for 200 a share? Why should AAP and FB? NFX's big problem is no cash, AAP could fix that bigtime",0,0
MTG short 5.42,1,1
TIP - p fill the gap,0,1
NX On flag break  ,0,0
HPQ is 17.50 too much to ask for tomorrow??? :),0,0
"MHP Kids, don't do steroids   ",1,1
ed Monthly Triangle on CSN closed at 1.46,0,0
MS long very close to my stop of 21.50. Not looking good on this one. ooking back I broke my long-side rule of solid earnings delivery.,1,1
"Waiting for the big rotation, when profit takers get out of Vapour~ware and back into AAP  and it's DIV, high EPS and low P/E",0,1
OMEX sold some 3.52 buying back 3.43,0,0
"OCZ trying to find a bottom here, like it over 2.20",0,0
"AFFY looking for a double like PX here, 75% shrs shorted just like PX.",0,0
"Didn't plan on holding these MSFT Apr. calls overnight again, but when do things ever go as planned?",0,1
No 1 is talking abt Demark's botched AAP call. Media always parade the hot hand so masses B under the illusion that experts know something,1,1
"AMD 2.72 is pretty much the pivot resistance here. If that breaks, we could see 2.83 quickly.",0,0
".user, Cook is fine for AAP. People were skeptical about Chambers at CSCO, too. Markets are not always prescient.",0,1
"HPQ should Explode today, 18 coming imo!",0,0
user: AAP Not loving that close.  ong weekly 450 calls. 25000 of us praying for the 450 pin close,0,0
"AAP, More like crapple as one student said today. Bearish with a move lower tomorrow. It's failing exactly where I thought it would.",1,1
AAP Bullish signal here.  Want to see a close (preferably) above 462.60 to confirm.  ,0,0
"AAP failed to get a candle close over the 50% retrace on the day. inverse abcd, imo   ",1,1
"user: user might be some reaction to s4 unveiling. AAP ya YAWN, plastic, cheap 1 of 80 models they offer.. no lightsabre",0,0
Shorting Delta Airlines in the morning. Flying way too high for its performance - pun intended!  DA,1,1
GD SV ABX NEM FCX - Distrusts Soros sells gold and much of their holdings -  ,1,1
AAP below 557 has led to downside follow thru. i have 452 as my 1st support,1,1
CEE short higher and will short more here 44.35,1,1
user Do you think the ZOT support level means anything now after the recent news?,0,0
EDS ock on again. P 13.39%,0,0
AMZN Has Post-Earnings eversal  ,1,0
SHOT AEE  33.99.,1,1
"user: With egal eserves ow, Bank of America Faces a Big awsuit  >> = Big BS ! BAC",0,0
CEE this is about to tip over the edge and go over the falls target 39,1,1
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,1,1
AAP all the bears - all the downgrades - all the samsung BS-  I'm going long the 440 calls - overnight too ! #beermoney #runmonkeyrun,0,0
"user: QCOM, Friday's lows provided a nice back-test of B/O level  ",0,0
MTG holding small short pos from 5.72 for swing,1,1
"ed Monthly Triangle on CSN,....Net Profit  70,825.00 (6.42%)  ",1,0
AF watching SPX highs and relative strength weakness. AF at MA  ,1,1
#Ackman you should be really going after PI. Classic example of MM firm. worked for them a year or so. Momo is in favor. #yourWelcome,1,1
"Short list monday, AZK CENX  DAKT EMK  IO MVG QTY SNSS STK TAS VOCS",1,0
AAP  Just broke through a downward triangle coming off a massive head and shoulders.  This thing is toast.,1,1
K is closing lower slowly with greater-than-average volume. Be Aware,1,1
" , ES,SPY, Ground Hog Week, distribution at highs..  ",1,1
"NIS sold stocks at 2.24, now we are at 2,15. We will come back P soon. Patience my friends. I'm ONG",0,0
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",1,1
And there goes that 520 level on AAP.,1,1
AAP Short,1,1
"OVI  volume returns again, buy once it gets through top of that downtrend line    ",0,0
For the past 10 years VFC has booked an avg return: 7.3% from Jan to Mar option expiration. Posting positive returns 10/10 years (100%),0,0
"Airlines Face Refunding $35 Billion Of Unused Tickets: Aviation Body
https://t.co/pZw7IQkKva",1,1
"M Consolidating here, heavy volume inverted hammer candle, we should see a nice green bar up tom, unless all buyers exhausted from today.",0,0
AF 30 min second shot at the 100MA - 20/50 crossing   ,1,1
GOOG and AAP  they want out for April earnings?,1,1
AAP Next big  (little) thing... iwatch  ,0,0
N found buyers near its rising 50dma and it is looking to resume its uptrend  ,0,0
The Federal Reserve is limited in its efforts to revive the $4 trillion market for municipal securities. https://t.co/ymRweWcRXc,1,1
"AAP If Apple reaches 504,44 , change the Stop oss and put it in 501,60 . Also a chance to go long.",0,0
"SPW Still climbing after yesterday's gains.  I love buying panic, cheap shares.",0,0
"CHTP like this flag here, expecting a move to 2.10 shortly",0,0
CAT FED going to buy Tractors too??? I don't think so! Should be down 4-5% today imo!,1,1
"  Elephant hunting ISG, PCN, AMZN, A point and figure review, high risk , define loss w opt  ",1,0
EA nice move (long),0,0
Barclays upside case for CSOD is a year end price target of 46.  Based on 8x cy'14 revenues and 10% upside to estimates. Quite achievable!,0,0
"HF NS SNA are in deep trouble here, Fortune sold the exact same BS supplements, they held them up in the press conference!",1,0
Full Analysis Blog Post from yesterday Watch That 50! (EMA) - AAP   ,1,1
"This is AAP's 9th consecutive day under the 2003 trendline. When a multi-year trend breaks, be short or be long gone.",1,1
"AAP setting up for a sell the news tomorrow on Cook speech.  He is no Jobs, market will be disappointed.  Iwatch?  Gimme a break.",1,0
short FCX needs to retest 30 level,1,1
"user Yeah, I have to think AAP is an underpriced value stock. ;-)",0,0
GME like that finish!,0,0
fnsr great intraday look..,0,0
Saudi Crown Prince Mohammed bin Salmanâ€™s Public Investment Fund is pressing forward with buyout of U.K. Premier Leaâ€¦ https://t.co/gaL1jay0hG,0,0
RT @Birdyword: Lockdowns solve coordination problems: The alternative to enforcement could be millions independently trying to avoid infectâ€¦,0,1
"user NOV went up nicely this week, no doubt.  Not the only story in the market...no reason to be here...move on.  Pick another stock.",1,0
"Groupon evisited: New Mission, New eporting Issues ? Grumpy Old Accountants GPN  ",1,0
bac fib levels  ,1,1
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,0,1
NFX tight flag 10minute,0,0
AAP range is 500 to 350 - can go towards to lower end,1,1
"WF EPS beats by .08 revenues up 42.8M - p 6% premarket, should have a nice run today after #POTS remarks last night!",0,0
Major game consoles now stream 6 month old games at heavily reduced price.There won't be any need for physical used games anymore. GME to 0,1,1
"My spot on y u wanted to avoid AAP pre-earnings w/ user yahoofinance. Starts at 2 min mark, posted yesterday.   ",1,1
AAP Why do so many people believe that Apple should be commenting about stock decline b/4 EC? It's called the quiet period for a reason.,0,0
"PCN, Short interest very low <5%, BEAISH POINT AND FIGE TIANGE, GAP lower confirms, 625inplay  ",1,1
Bullish QIH AAP IBM,0,1
user Bi-furcated market rules the day . . .my friend MS WMT TGT DT PP ,1,0
SHOT BVSN here  11.50,1,1
ANAC come on up to me so I can short you more,1,1
user: AAP...IMHO...will be sell the news..sorry if  I offend anyone...G warriors,1,1
"user NOV went up nicely this week, no doubt.  Not the only story in the market...no reason to be here...move on.  Pick another stock.",1,0
"Crude Prices To Continue To Fall In Coming Weeks, Historic Deal Insufficient: Goldman Sachs
https://t.co/tSM4X3B6WW",1,1
AAP Volume Fade fast !,1,1
F headed for 12,0,1
Scaling some AMZN puts 02/15 puts bot at 1.2 at 2.50,1,1
user EMN Eastman Stoploss in 72.91 after beating 73.56. Eastman Stoploss en 72.91 tras batir 73.56,0,0
SHD JCP both now claim hidden re value Vornado VNO can't buy them all.Garbage stay away   ,1,0
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,0,0
"AAP IMM: Apple reduces component orders for iPhone 5 on weak demand, WSJ says - Party is OVE!",1,0
The Federal Reserve is limited in its efforts to revive the $4 trillion market for municipal securities. https://t.co/ymRweWcRXc,1,1
QCOM is really getting interesting. Might see new highs really soon.,0,0
"3 tech stocks with staying power - IBM, Intel INTC & Qualcomm QCOM. And QCOM lets you keep AAP exposure to boot!  ",0,1
ZNGA suddenly jumped to 3.61,0,0
BAC Short Again Seem Weak a bit,1,1
NKD no rest for this stock as it soars into new highs   ,0,0
SCHW - new 52 week hi & looking to close on hi - like it - we will buy more,0,0
NAN Spring loaded (ascending triangle)  SI strong here.  20.00 now key.  Others I like: AX DDD (MACD) VMW  ,0,0
M ong M -  looking for Fridays highs - Hourly buy setting up,0,0
"for the record, I do not like these highs in SPX, ES, NQ, IND. the air makes me nervous up here. seeing more SHOT pre-signals. ",1,1
VXY #FED POMOs flowing from ZB_F to GS JPM MS BAC - free cash to squeeze derivatives to pop markets to 1546 ES_F target,1,0
"Sensex Opens 173 Points Higher Amid Cautious Gains In Global Markets
https://t.co/UeXRpkRn4x",0,0
"The coronavirus pandemic may or may not have saved HP from the clutches of Xerox. Either way, the PC and printer giâ€¦ https://t.co/j9VwY8VwpM",0,0
GEVO uptrending from double bottom; 50 DMA crossing 200 DMA. Asc T/ = 20 DMA. Stop under 2.25  ,0,0
"AAP sending a reminder to NOK,",1,1
"Sensex opens over 550 points lower, Nifty starts day below 8,400 amid weakness in global markets over coronavirus… https://t.co/DDOb3WKi5S",1,1
NFX  Over 28.20 or 28.40  ,0,0
"CAT Caterpillar Machine etail Sales Drop Accelerates, ed by Asia  ",1,0
Estimates to move lower for SAFM after EPS and a trend line break likely today with support at 47  ,1,1
GPN Stock price finally broke out one of the most important resistances in the short term at 6.17   ,0,1
PCN up 8 points since this short call on ST - 700 so close - magic number will break it hard down same way did up - 10 more pts to go,1,1
"for the record, I do not like these highs in SPX, ES, NQ, IND. the air makes me nervous up here. seeing more SHOT pre-signals. ",1,1
user EMN Eastman Stoploss in 73.46 after beating 73.85. Eastman Stoploss en 73.46 tras batir 73.85,0,0
user: tour de AAP gap fill  ast gap of hope filled,1,1
DDD also following through nicely from yesterday to the downside,1,0
Zillow has almost doubled this year....so if you are raising money for charity might be smart to hit up user :)  Z,0,0
AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,1,1
How Coronavirus Spread Through Corporate America https://t.co/hyy2tYTAGN,1,1
"If AAP goes to over 451, I will go short. Still weak stock.",1,1
GOOG sold 1/2 of long position   ,0,0
user wouldn't consider it until >27 minimum CF,1,1
markets at the highs of the day. spy  ms still chopping around.  ridiculous.,1,0
HF entry 18.34 stop 17.55  ,0,0
user I was early...but right on! thanks for lookin out ! ssys,1,1
"From Slowdown To Lockdown: Auto Makers See Steep Fall In March Sales
https://t.co/aRCyZy3wL0",1,1
Goldman drops EA from conviction-buy to buy  ,1,1
sold 3/4 of AN +0.27 (+2.94%) - keeping 1/4 of position overnight,0,0
PAN Caught an upgrade with 26% short interest..Breaking out here:  ,0,0
"Goodbye FAF, acting weak, I've never liked you anyway - NEXT",1,1
"Rupee Sheds 1% To Hit Record Low Of 74.99 Versus Dollar Amid Virus Fear: 10 Points
https://t.co/tQu0q8AV1C",1,1
X option trader appears to have put on 9k bearish put spreads in the Jul 20-13 puts against lower open interest in both strikes. Pos. hedge,1,1
"KWK this one is heavily oversold here, think with the other players rallying massively this one is due for a big pop.  P XCO ECA NG",0,0
ssys if fundamentals matter... headed under 40. income is 10% sales. 40mil net inc. puts this at PE of 60 with stock at 60. doubt it,1,1
AAP #BOKEN STOCK,1,0
AAP lets see if we say goodbye to 500 today.,1,1
Definitely a major top/high in today on 3d printing.  back to show me period on this group.have an exit plan on rallies methinks DDD SSYS,1,1
AAP How an Internet-trained Apple analyst lost tens of millions of other peoples' money  ,1,1
"Very important day for JPM, it will interesting to see if it can break 50.11  ",0,0
Community lenders are having a tough time getting a piece of the $350 billion set aside under the SBAâ€™s Paycheck Prâ€¦ https://t.co/ayl6imT2D7,1,1
PCN - long setup  ,0,0
SWY - wow doing a number on the bears this week - scaled out of a little today,0,0
Today's game HF for the Icahn team and maybe a little bit of GPN in memory of Andrew !,0,0
"user: AAP lets go 425,  (sorry longs, im long also)// r iht 425 annd IF consolidate for 3-5 Week After Bullish",1,1
BAC p p Step By Step... esistance 11.65-67,0,0
DGI DDD both acting strong ending at hod with decent volume at the end.,0,1
SSYS postpone Q4 release from Feb to approx March 4th.,1,0
"ADBE SHOT! will see around 17 - 20 very soon, 39 is to much for adbe, thanks and have a good day.",1,1
"Sensex up over 400 points, Nifty touches 7,900 as markets rise 1% amid volatile trade; auto stocks lead gains #Sensex #Nifty #MarketUpdates",0,0
VXY Short again - GS just downgraded volatility into June,1,1
GEVO taking half off 2.29,0,0
"APA good short and risk reward. As long as it stays under 75.50, it will be great.",1,1
AAP BC Capital lowered price target to 600 from 725.  ,0,0
BAC anyone think this might slush and fall below 11 today?,1,1
PCN further bookings acceleration could drive multiple expansion going forward  ,0,0
AMZN short 275.13,1,1
"Green Weekly Triangle on CYTX,....Sell Short at 3.02  ",1,1
NFX BOOM,0,1
user: AAP lol pin at 450 O indeed,0,1
"RT @Birdyword: Ironically, the surge in the price of gold is largely because the market expects the Fed's recent measures to be successful.â€¦",0,0
AAP really looked like a B trap fri- to open.. Trade Strong,0,0
CW long here 3.22,0,0
CAT being a major thorn in my side today. Me being short that is.,1,1
"GOOG short, moving slower than I expected, covered a little more here around 807.50, 809.20 stop now",1,1
NGT Nice bounce off gap fill... good to reshort into JPM move,1,0
PHI Our software auto sold this one so we are cutting our losses on this one at -5% on the trade.  ,1,1
EBAY tested the high today n it failed unless Hmary in25min.,1,0
AMZN is another free money trade for today. We will see where it lands today at the close.,0,0
"Coronavirus Scare: Amazon To Hire 1,00,000 Workers As Online Orders Surge
https://t.co/UsP4DVSWhD",0,1
DDD IMO The 3D Sector will pay off SH andT CIMT ONVO DASTY PCP SSYS ADSK and NANO TEC will be Next gen of AAP and GOOG stock,0,0
"ong in BBBY after beating 159,07 . Stop loss in 59,74 ",0,0
GME new HoD,0,0
AAP long 423 and under buying,0,0
keep an eye on SBX for possible intraday bottom at support on the daily. ike stock if it can hold  ,0,0
"Trying to get a break on mortgage payments? Servicers are supposed to help during the coronavirus pandemic, but jusâ€¦ https://t.co/V8IXQuFxCa",0,0
"user: AAP lets go 425,  (sorry longs, im long also)// r iht 425 annd IF consolidate for 3-5 Week After Bullish",1,1
PAY ncertainty is never a good thing.,1,1
So far so good regarding our APO #earnings strategy. Far too soon to call it a win though.  ,0,1
Today's Watchlist for SHOT Stocks: MTG; ITMN; ANAC; OWW; DMND,1,1
DDD SSYS XONE and nice entry to dip toe into CIMT 9 beat the street in everyway Much potential  : NGT FCX CO nice entry IMO : VXX,0,0
"SSYS under 69, shorted here, 6940 stop",1,1
FS just looking more and more like a head and shoulders pattern here,1,1
GOOG stopped out of half --,0,1
user:Glass potential to make everyone a spy or a creep GOOG ~ appeals to hipsters & pervs & if voice cmd is as bad as siri oh-no,1,1
GOOG Slipping!,1,1
"SAVE continues run, all-time high within sight. Our budget airline analysis from fall:  ",0,0
MGM up 8.38%,0,0
NFX short via 2/22 Put 4.65,1,1
"Rupee Drops Below 76 Mark Against Dollar Amid Coronavirus Crisis
https://t.co/CKANJR47UG",1,1
FIO: Insightful analysis on how Fusion-io is avoiding commoditization (via user):  ,0,0
"Get divi approval from Fed (likely), it takes off user: Post from last night on Bank of America BAC -  ",0,0
"aughing all the way to the bank, Top 5 T account PEP This thing riding the upper BB on weekly chrt! Monster 10% move. ove me a bull mkt.",0,0
AAP Ouffffff,1,0
PAY VeriFone price target lowered to 15 from 27 at Deutsche Bank - 1 of 4 Massive downgrades - Disclosure: Short PAY,1,1
"SII Sold 1/4 position at 2.09 today..wanted to lighten up on stocks going into the uncertainty this week, its still my largest holding",0,0
"ADBE SHOT! will see around 17 - 20 very soon, 39 is to much for adbe, thanks and have a good day.",1,1
BA SHOT 130  75.25,1,1
user: AAP I sure hope their P dept monitors this sentiment after IPO company don't care and APP never did,0,0
"Sensex, Nifty Open Higher Amid Gains In Global Markets
https://t.co/A5y2mB4ZS9",0,0
AAP never imagined aapl in dumps for so long BBY NOK,1,0
VXY AAP Blowout Huge Dump AAP Miss #FED pump VXY Dump,1,1
AAP Going to be interesting to see the pop and squeeze on Jan 23rd if we see a positive report.,0,0
aise 2nd 1/2 of BVSN to 11.34.,0,0
"Watch SOH here under 46.73, could be a short imo.",1,1
"Allstate said it would dispatch more than $600 million in shelter-in-place payback checks, https://t.co/OF3AyFHVkI",0,0
SGY broke down its 50EMA & trendline support on increased volume and selling pressure.  ,1,1
So to be sure. Everyone can short AAP and make money. Everyone is going to jump in when market crashes on Debt Ceiling. Perfect.,1,1
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",1,1
"user: user What's your take on AAP today?  huge Vol, strong buys = institutional investors IMHO",0,0
"Watchist: VBD COX CSC COF All need confirmation, but if confirmed...!!",0,0
"The most bearish thing I have seen in a week, not good for the overall market at all JPM SPY ES_F  ",1,1
AAP OK all the bears out of the pool!,0,0
AMZN short stopped out.  rough to walk into a gap up,1,1
"Sensex ends 674 points lower, Nifty gives up 8,100 as markets extend losses to second day #Sensex #Nifty #MarketUpdates",1,1
"Heard on the Street: Investors are betting on IACâ€™s remodel, but just how quickly can the whole thing be fixed? https://t.co/COJsGVy9pH",0,1
My portfolio: FIO ASTM NIS NN ANTH other interesting stocks: AAP ATHX MNKD MEA  ,0,0
Selling ICE Short check out my video analysis  ,1,1
"Sensex, Nifty Likely To Open On Positive Note Today
https://t.co/S9ZrtxeUpw",0,0
GOOG is the best. chrome on IOS it better that safari. goog innovation is far better.,0,0
Investors on today's jobs number: â€I donâ€™t think anybodyâ€™s surprised that it was a terrible month...We know itâ€™s goâ€¦ https://t.co/05YIheTICU,1,0
user: Why is BAC falling? Montlu OPEX and Pullback of OVerall Market,1,0
user: Great rotation..  Grasso confirming what I have been saying here for a while; Money coming out of AMZN and buying AAP,0,0
"Sensex Ends 1,375 Points Lower Amid Coronavirus Crisis
https://t.co/J8tBkkoNTe",1,1
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,1,1
"Excise On Petrol, Diesel To Go Up By Rs 8/Litre To Fund Covid-19 Fight
https://t.co/wN2oIm0nZj",1,0
"Rupee Jumps To Return To 74 Levels Against Dollar After RBI Announcements 
https://t.co/pCA3VolJsh",1,0
Out 3/4 of short VHC,1,1
RT @ScottMAustin: Read this great story by @DanaMattioli and @SebasAHerrera about how Amazon didn't have a pandemic plan and is now strainiâ€¦,1,1
"SBI Cuts Interest Rates On Savings Deposits By 0.25%
https://t.co/y47p5F5V3F",1,1
SANM from watch list with volume of 9% ave full day - slightly over line   ,0,0
AAP tips for TC.. The other tim did it TMI raises div buys back stock  ,0,1
I don't care what anybody says. NFX may have a little earnings boost and I stopped out but the MACD divergence is there! Will short again.,1,1
user: PPHM Damn. Sorry folks. Pharms are getting taking to the shed today.,1,1
"user: CAT Sorry, this e/r is NOT good and I'm not saying just because I have puts.  Nice wide guidance kitty cat.",1,1
AAP Anyone have any suggestions for bullish positions assuming 5% increase after earning? 530 long calls seem to have limited upside.,0,1
"Aviation Industry Stares At Loss Of Up To $3.6 Billion In Q1 Due To Travel Ban
https://t.co/puIlhqwcEn",1,1
MA daily had red dot but will confirm it with cross of PWmo2 white.  ,1,0
"sky rockets in flight, afternoon delight EBAY",0,0
FS 4 hour - nice bounce ichard.   ,0,0
"JPM broke out an important resistance at 46,87 with solid volume. The trend is in favour of Bulls  ",0,0
user I'd guess if there were other AAP issues with the magnitude of maps we'd know it by now.,0,0
AAP #4 is not used in S. Korea because it means DEATH.  so 444 is kinda like 666 in korean,1,1
"AAP Head and Shoulders pattern plays out, one for the textbooks  ",1,1
BAC still see this getting back to 10.50 possibly lower when the overall market pulls back next month.,1,0
long a little TP,0,0
"Mortgage REITs have one of the riskiest business models in real estate: they issue high-yield loans, and finance thâ€¦ https://t.co/JyXdfWSrT6",1,0
"Government To Borrow More Aggressively In April-September Than Expected
https://t.co/cBv5yI8Djb",1,1
"Sensex ends 1,028 points higher, Nifty settles at 8,598 as markets rise nearly 4% on last day of financial year 201… https://t.co/OfBlLb5Thm",0,0
The big decline in oil prices has hit all three of the menâ€™s power bases at a moment when the coronavirus threatensâ€¦ https://t.co/zggVnn9sht,1,1
"Despite weakness in AAP, SPY didn't fill 2day's gap - reversed a mere 0.13 away.  Every stock out there outperforming AAP these days",0,0
MTG holding small short pos from 5.72 for swing,1,1
"eading stocks topped early in the day, even as ES_F pushed higher. elative weakness on a strong up day. SODA SPW QCOM FB AAP BID",1,1
"Sensex rebounds 2,050 points from day’s low to touch 31,400, Nifty back above 9,000 as markets resume trading #Sensex #Nifty #MarketUpdates",0,0
"Sensex opens 174 points lower at 26,500, Nifty starts day below 7,750 as India begins 21-day lockdown to fight coro… https://t.co/rD3psz8Cz2",1,1
