Text,Target,Predicted,Parsed
BAC Based on Tech Analysis we have reach bottom for Today. So it should rise up for the rest of the day (minus reaction for Fed Minutes),1,1,"[('BAC Based', 'ORG'), ('Today', 'DATE'), ('the day', 'DATE'), ('Fed Minutes', 'ORG')]"
SEV nicely green on red market,1,1,"[('SEV', 'ORG')]"
NFX gets exclusive streaming rights to The Hunger Games,1,1,"[('NFX', 'ORG'), ('The Hunger Games', 'EVENT')]"
AAP traps works better with a QICK SNAP!. dead bulls and bears IMHO,1,1,"[('AAP', 'ORG'), ('QICK SNAP!', 'ORG'), ('IMHO', 'PRODUCT')]"
"Covered DKS, looks like a long if it can stay above 45.90.",1,1,"[('45.90', 'CARDINAL')]"
"Rupee Drops Below 76 Mark Against Dollar Amid Coronavirus Crisis
https://t.co/CKANJR47UG",-1,-1,"[('https://t.co/CKANJR47UG', 'TIME')]"
I wish TV would die already like all the Newspapers told me  CBS ftw!,1,1,"[('Newspapers', 'ORG'), ('CBS ftw', 'ORG')]"
CAT 82 looks very possible imo....  ,-1,1,"[('CAT 82', 'PRODUCT')]"
"RT @WSJheard: Canâ€™t get your hands on a Nintendo console to play the new version of ""Animal Crossing""? You could always buy Nintendo stockâ€¦",1,1,"[('RT @WSJheard', 'ORG'), ('Canâ€™', 'PRODUCT'), ('Nintendo', 'ORG'), ('Animal Crossing', 'WORK_OF_ART'), ('Nintendo', 'ORG')]"
GEVO still holding for breakout !!,1,1,"[('GEVO', 'ORG')]"
Told you on SPW  I still target 16 and higher  ,1,1,"[('SPW', 'ORG'), ('16', 'CARDINAL')]"
"user: who wants to buy NFX for 200 a share? Why should AAP and FB? NFX's big problem is no cash, AAP could fix that bigtime",1,1,"[('NFX', 'ORG'), ('200', 'CARDINAL'), ('AAP', 'ORG'), ('FB', 'ORG'), ('NFX', 'ORG'), ('AAP', 'ORG')]"
MTG short 5.42,-1,-1,"[('MTG', 'ORG'), ('5.42', 'CARDINAL')]"
TIP - p fill the gap,1,-1,[]
NX On flag break  ,1,1,[]
HPQ is 17.50 too much to ask for tomorrow??? :),1,1,"[('HPQ', 'ORG'), ('17.50', 'CARDINAL'), ('tomorrow', 'DATE')]"
"MHP Kids, don't do steroids   ",-1,-1,"[('MHP Kids', 'ORG')]"
ed Monthly Triangle on CSN closed at 1.46,1,1,"[('Monthly Triangle', 'ORG'), ('CSN', 'ORG'), ('1.46', 'CARDINAL')]"
MS long very close to my stop of 21.50. Not looking good on this one. ooking back I broke my long-side rule of solid earnings delivery.,-1,-1,"[('21.50', 'CARDINAL')]"
"Waiting for the big rotation, when profit takers get out of Vapour~ware and back into AAP  and it's DIV, high EPS and low P/E",1,-1,"[('Vapour', 'PRODUCT'), ('AAP', 'ORG'), ('DIV', 'ORG'), ('EPS', 'ORG')]"
OMEX sold some 3.52 buying back 3.43,1,1,"[('OMEX', 'ORG'), ('some 3.52', 'CARDINAL'), ('3.43', 'CARDINAL')]"
"OCZ trying to find a bottom here, like it over 2.20",1,1,"[('OCZ', 'PERSON')]"
"AFFY looking for a double like PX here, 75% shrs shorted just like PX.",1,1,"[('AFFY', 'PERSON'), ('PX', 'ORG'), ('75%', 'PERCENT'), ('PX', 'ORG')]"
"Didn't plan on holding these MSFT Apr. calls overnight again, but when do things ever go as planned?",1,-1,"[('overnight', 'TIME')]"
No 1 is talking abt Demark's botched AAP call. Media always parade the hot hand so masses B under the illusion that experts know something,-1,-1,"[('Demark', 'ORG'), ('AAP', 'ORG')]"
"AMD 2.72 is pretty much the pivot resistance here. If that breaks, we could see 2.83 quickly.",1,1,"[('2.83', 'CARDINAL')]"
".user, Cook is fine for AAP. People were skeptical about Chambers at CSCO, too. Markets are not always prescient.",1,-1,"[('Cook', 'PERSON'), ('AAP', 'ORG'), ('Chambers', 'ORG'), ('CSCO', 'ORG')]"
"HPQ should Explode today, 18 coming imo!",1,1,"[('HPQ', 'ORG'), ('today', 'DATE'), ('18', 'CARDINAL')]"
user: AAP Not loving that close.  ong weekly 450 calls. 25000 of us praying for the 450 pin close,1,1,"[('ong', 'ORG'), ('450', 'CARDINAL'), ('25000', 'CARDINAL'), ('450', 'CARDINAL')]"
"AAP, More like crapple as one student said today. Bearish with a move lower tomorrow. It's failing exactly where I thought it would.",-1,-1,"[('AAP', 'ORG'), ('crapple', 'PERSON'), ('one', 'CARDINAL'), ('today', 'DATE'), ('tomorrow', 'DATE')]"
AAP Bullish signal here.  Want to see a close (preferably) above 462.60 to confirm.  ,1,1,"[('AAP', 'ORG'), ('462.60', 'CARDINAL')]"
"AAP failed to get a candle close over the 50% retrace on the day. inverse abcd, imo   ",-1,-1,"[('AAP', 'ORG'), ('the 50%', 'PERCENT'), ('the day', 'DATE')]"
"user: user might be some reaction to s4 unveiling. AAP ya YAWN, plastic, cheap 1 of 80 models they offer.. no lightsabre",1,1,"[('1', 'CARDINAL'), ('80', 'CARDINAL')]"
Shorting Delta Airlines in the morning. Flying way too high for its performance - pun intended!  DA,-1,-1,"[('Delta Airlines', 'ORG'), ('the morning', 'TIME')]"
GD SV ABX NEM FCX - Distrusts Soros sells gold and much of their holdings -  ,-1,-1,"[('GD SV ABX', 'ORG'), ('FCX - Distrusts Soros', 'PRODUCT')]"
AAP below 557 has led to downside follow thru. i have 452 as my 1st support,-1,-1,"[('AAP', 'ORG'), ('557', 'CARDINAL'), ('452', 'CARDINAL'), ('1st', 'ORDINAL')]"
CEE short higher and will short more here 44.35,-1,-1,"[('CEE', 'ORG'), ('44.35', 'CARDINAL')]"
user Do you think the ZOT support level means anything now after the recent news?,1,1,"[('ZOT', 'PERSON')]"
EDS ock on again. P 13.39%,1,1,"[('EDS', 'ORG'), ('P 13.39%', 'PERCENT')]"
AMZN Has Post-Earnings eversal  ,-1,1,"[('AMZN Has Post-Earnings', 'ORG')]"
SHOT AEE  33.99.,-1,-1,"[('SHOT AEE', 'ORG'), ('33.99', 'CARDINAL')]"
"user: With egal eserves ow, Bank of America Faces a Big awsuit  >> = Big BS ! BAC",1,1,"[('Bank of America', 'ORG')]"
CEE this is about to tip over the edge and go over the falls target 39,-1,-1,"[('CEE', 'ORG'), ('39', 'CARDINAL')]"
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,-1,-1,"[('MA', 'ORG'), ('Friday', 'DATE'), ('the upside orange dot traget', 'ORG'), ('517+', 'MONEY')]"
AAP all the bears - all the downgrades - all the samsung BS-  I'm going long the 440 calls - overnight too ! #beermoney #runmonkeyrun,1,1,"[('AAP', 'ORG'), ('samsung', 'ORG'), ('BS-', 'PRODUCT'), ('440', 'CARDINAL'), ('beermoney #runmonkeyrun', 'PERSON')]"
"user: QCOM, Friday's lows provided a nice back-test of B/O level  ",1,1,"[('QCOM', 'ORG'), ('Friday', 'DATE')]"
MTG holding small short pos from 5.72 for swing,-1,-1,"[('MTG', 'ORG'), ('5.72', 'CARDINAL')]"
"ed Monthly Triangle on CSN,....Net Profit  70,825.00 (6.42%)  ",-1,1,"[('Monthly Triangle', 'ORG'), ('CSN,', 'ORG'), ('6.42%', 'PERCENT')]"
AF watching SPX highs and relative strength weakness. AF at MA  ,-1,-1,"[('SPX', 'ORG'), ('MA', 'ORG')]"
#Ackman you should be really going after PI. Classic example of MM firm. worked for them a year or so. Momo is in favor. #yourWelcome,-1,-1,"[('#Ackman', 'PERSON'), ('PI', 'ORG'), ('MM', 'PERSON'), ('Momo', 'PERSON'), ('yourWelcome', 'MONEY')]"
"Short list monday, AZK CENX  DAKT EMK  IO MVG QTY SNSS STK TAS VOCS",-1,1,"[('monday', 'DATE'), ('AZK CENX  ', 'PERSON'), ('DAKT EMK', 'PERSON')]"
AAP  Just broke through a downward triangle coming off a massive head and shoulders.  This thing is toast.,-1,-1,"[('AAP', 'ORG')]"
K is closing lower slowly with greater-than-average volume. Be Aware,-1,-1,"[('Be Aware', 'ORG')]"
" , ES,SPY, Ground Hog Week, distribution at highs..  ",-1,-1,"[('ES', 'ORG')]"
"NIS sold stocks at 2.24, now we are at 2,15. We will come back P soon. Patience my friends. I'm ONG",1,1,"[('NIS', 'ORG'), ('2.24', 'CARDINAL'), ('2,15', 'CARDINAL'), ('ONG', 'ORG')]"
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",-1,-1,"[('yesterday', 'DATE'), ('AAP', 'ORG')]"
And there goes that 520 level on AAP.,-1,-1,"[('520', 'CARDINAL'), ('AAP', 'ORG')]"
AAP Short,-1,-1,"[('AAP', 'ORG')]"
"OVI  volume returns again, buy once it gets through top of that downtrend line    ",1,1,"[('OVI', 'ORG')]"
For the past 10 years VFC has booked an avg return: 7.3% from Jan to Mar option expiration. Posting positive returns 10/10 years (100%),1,1,"[('the past 10 years', 'DATE'), ('VFC', 'ORG'), ('7.3%', 'PERCENT'), ('Jan to Mar', 'DATE'), ('10/10 years', 'DATE'), ('100%', 'PERCENT')]"
"Airlines Face Refunding $35 Billion Of Unused Tickets: Aviation Body
https://t.co/pZw7IQkKva",-1,-1,"[('$35 Billion', 'MONEY'), ('https://t.co/pZw7IQkKva', 'PERSON')]"
"M Consolidating here, heavy volume inverted hammer candle, we should see a nice green bar up tom, unless all buyers exhausted from today.",1,1,"[('M Consolidating', 'ORG'), ('today', 'DATE')]"
AF 30 min second shot at the 100MA - 20/50 crossing   ,-1,-1,"[('30 min', 'TIME'), ('second', 'ORDINAL'), ('100MA - 20/50', 'CARDINAL')]"
GOOG and AAP  they want out for April earnings?,-1,-1,"[('GOOG', 'ORG'), ('AAP', 'ORG'), ('April', 'DATE')]"
AAP Next big  (little) thing... iwatch  ,1,1,"[('AAP', 'ORG'), ('iwatch  ', 'PERSON')]"
N found buyers near its rising 50dma and it is looking to resume its uptrend  ,1,1,"[('50dma', 'ORG')]"
The Federal Reserve is limited in its efforts to revive the $4 trillion market for municipal securities. https://t.co/ymRweWcRXc,-1,-1,"[('The Federal Reserve', 'ORG'), ('$4 trillion', 'MONEY')]"
"AAP If Apple reaches 504,44 , change the Stop oss and put it in 501,60 . Also a chance to go long.",1,1,"[('AAP', 'ORG'), ('Apple', 'ORG'), ('504,44', 'GPE'), ('the Stop oss', 'ORG'), ('501,60', 'GPE')]"
"SPW Still climbing after yesterday's gains.  I love buying panic, cheap shares.",1,1,"[('SPW', 'ORG'), ('yesterday', 'DATE')]"
"CHTP like this flag here, expecting a move to 2.10 shortly",1,1,"[('CHTP', 'ORG'), ('2.10', 'CARDINAL')]"
CAT FED going to buy Tractors too??? I don't think so! Should be down 4-5% today imo!,-1,-1,"[('CAT FED', 'ORG'), ('Tractors', 'ORG'), ('4-5%', 'PERCENT'), ('today', 'DATE')]"
"  Elephant hunting ISG, PCN, AMZN, A point and figure review, high risk , define loss w opt  ",-1,1,"[('ISG', 'ORG'), ('PCN', 'ORG'), ('AMZN', 'ORG')]"
EA nice move (long),1,1,"[('EA', 'ORG')]"
Barclays upside case for CSOD is a year end price target of 46.  Based on 8x cy'14 revenues and 10% upside to estimates. Quite achievable!,1,1,"[('Barclays', 'ORG'), ('a year end', 'DATE'), ('46', 'CARDINAL'), ('8x', 'CARDINAL'), ('10%', 'PERCENT')]"
"HF NS SNA are in deep trouble here, Fortune sold the exact same BS supplements, they held them up in the press conference!",-1,1,"[('HF NS SNA', 'ORG'), ('Fortune', 'WORK_OF_ART'), ('BS', 'ORG')]"
Full Analysis Blog Post from yesterday Watch That 50! (EMA) - AAP   ,-1,-1,"[('yesterday', 'DATE'), ('50', 'CARDINAL'), ('EMA', 'ORG')]"
"This is AAP's 9th consecutive day under the 2003 trendline. When a multi-year trend breaks, be short or be long gone.",-1,-1,"[('AAP', 'ORG'), ('9th', 'ORDINAL'), ('2003', 'DATE'), ('multi-year', 'DATE')]"
"AAP setting up for a sell the news tomorrow on Cook speech.  He is no Jobs, market will be disappointed.  Iwatch?  Gimme a break.",-1,1,"[('AAP', 'ORG'), ('tomorrow', 'DATE'), ('Cook', 'PERSON')]"
short FCX needs to retest 30 level,-1,-1,"[('FCX', 'ORG'), ('30', 'CARDINAL')]"
"user Yeah, I have to think AAP is an underpriced value stock. ;-)",1,1,"[('AAP', 'ORG')]"
GME like that finish!,1,1,"[('GME', 'ORG')]"
fnsr great intraday look..,1,1,[]
Saudi Crown Prince Mohammed bin Salmanâ€™s Public Investment Fund is pressing forward with buyout of U.K. Premier Leaâ€¦ https://t.co/gaL1jay0hG,1,1,"[('Saudi', 'NORP'), ('Mohammed bin Salmanâ€™s Public Investment Fund', 'PERSON'), ('U.K.', 'GPE')]"
RT @Birdyword: Lockdowns solve coordination problems: The alternative to enforcement could be millions independently trying to avoid infectâ€¦,1,-1,"[('millions', 'CARDINAL')]"
"user NOV went up nicely this week, no doubt.  Not the only story in the market...no reason to be here...move on.  Pick another stock.",-1,1,"[('NOV', 'ORG'), ('this week', 'DATE')]"
"Groupon evisited: New Mission, New eporting Issues ? Grumpy Old Accountants GPN  ",-1,1,"[('Grumpy Old Accountants', 'PERSON'), ('GPN', 'PERSON')]"
bac fib levels  ,-1,-1,[]
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,1,-1,"[('3.75', 'CARDINAL'), ('KCG', 'ORG')]"
NFX tight flag 10minute,1,1,"[('NFX', 'ORG')]"
AAP range is 500 to 350 - can go towards to lower end,-1,-1,"[('AAP', 'ORG'), ('500', 'CARDINAL')]"
"WF EPS beats by .08 revenues up 42.8M - p 6% premarket, should have a nice run today after #POTS remarks last night!",1,1,"[('WF EPS', 'ORG'), ('42.8', 'CARDINAL'), ('M - p', 'LOC'), ('6%', 'PERCENT'), ('today', 'DATE'), ('POTS', 'PRODUCT'), ('last night', 'TIME')]"
Major game consoles now stream 6 month old games at heavily reduced price.There won't be any need for physical used games anymore. GME to 0,-1,-1,"[('6 month old', 'DATE'), ('GME', 'ORG'), ('0', 'CARDINAL')]"
"My spot on y u wanted to avoid AAP pre-earnings w/ user yahoofinance. Starts at 2 min mark, posted yesterday.   ",-1,-1,"[('AAP', 'ORG'), ('2 min mark', 'QUANTITY'), ('yesterday', 'DATE')]"
AAP Why do so many people believe that Apple should be commenting about stock decline b/4 EC? It's called the quiet period for a reason.,1,1,"[('Apple', 'ORG'), ('EC', 'ORG')]"
"PCN, Short interest very low <5%, BEAISH POINT AND FIGE TIANGE, GAP lower confirms, 625inplay  ",-1,-1,"[('PCN', 'ORG'), ('5%', 'PERCENT'), ('POINT', 'PRODUCT'), ('FIGE', 'ORG'), ('GAP', 'ORG'), ('625inplay', 'CARDINAL')]"
Bullish QIH AAP IBM,1,-1,"[('QIH AAP', 'ORG'), ('IBM', 'ORG')]"
user Bi-furcated market rules the day . . .my friend MS WMT TGT DT PP ,-1,1,"[('Bi-furcated', 'ORG'), ('the day', 'DATE'), ('MS WMT', 'PERSON')]"
SHOT BVSN here  11.50,-1,-1,"[('SHOT BVSN', 'PERSON'), ('11.50', 'CARDINAL')]"
ANAC come on up to me so I can short you more,-1,-1,[]
user: AAP...IMHO...will be sell the news..sorry if  I offend anyone...G warriors,-1,-1,[]
"user NOV went up nicely this week, no doubt.  Not the only story in the market...no reason to be here...move on.  Pick another stock.",-1,1,"[('NOV', 'ORG'), ('this week', 'DATE')]"
"Crude Prices To Continue To Fall In Coming Weeks, Historic Deal Insufficient: Goldman Sachs
https://t.co/tSM4X3B6WW",-1,-1,"[('Coming Weeks', 'DATE'), ('Goldman Sachs', 'ORG')]"
AAP Volume Fade fast !,-1,-1,"[('AAP', 'ORG')]"
F headed for 12,1,-1,"[('12', 'CARDINAL')]"
Scaling some AMZN puts 02/15 puts bot at 1.2 at 2.50,-1,-1,"[('AMZN', 'ORG'), ('02/15', 'CARDINAL'), ('1.2', 'CARDINAL'), ('2.50', 'CARDINAL')]"
user EMN Eastman Stoploss in 72.91 after beating 73.56. Eastman Stoploss en 72.91 tras batir 73.56,1,1,"[('EMN Eastman Stoploss', 'PERSON'), ('72.91', 'CARDINAL'), ('73.56', 'CARDINAL'), ('Eastman Stoploss', 'PERSON'), ('72.91', 'CARDINAL'), ('73.56', 'CARDINAL')]"
SHD JCP both now claim hidden re value Vornado VNO can't buy them all.Garbage stay away   ,-1,1,"[('SHD', 'NORP'), ('JCP', 'ORG'), ('Vornado VNO', 'PRODUCT')]"
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,1,1,"[('GOOG FTC', 'ORG'), ('FTC', 'ORG'), ('GOOG', 'ORG'), ('VNG', 'ORG')]"
"AAP IMM: Apple reduces component orders for iPhone 5 on weak demand, WSJ says - Party is OVE!",-1,1,"[('AAP', 'ORG'), ('Apple', 'ORG'), ('5', 'CARDINAL'), ('WSJ', 'ORG')]"
The Federal Reserve is limited in its efforts to revive the $4 trillion market for municipal securities. https://t.co/ymRweWcRXc,-1,-1,"[('The Federal Reserve', 'ORG'), ('$4 trillion', 'MONEY')]"
QCOM is really getting interesting. Might see new highs really soon.,1,1,"[('QCOM', 'ORG')]"
"3 tech stocks with staying power - IBM, Intel INTC & Qualcomm QCOM. And QCOM lets you keep AAP exposure to boot!  ",1,-1,"[('3', 'CARDINAL'), ('IBM', 'ORG'), ('Intel INTC & Qualcomm', 'ORG'), ('QCOM', 'ORG'), ('AAP', 'ORG')]"
ZNGA suddenly jumped to 3.61,1,1,"[('ZNGA', 'PERSON'), ('3.61', 'CARDINAL')]"
BAC Short Again Seem Weak a bit,-1,-1,[]
NKD no rest for this stock as it soars into new highs   ,1,1,"[('NKD', 'ORG')]"
SCHW - new 52 week hi & looking to close on hi - like it - we will buy more,1,1,"[('52 week', 'DATE')]"
NAN Spring loaded (ascending triangle)  SI strong here.  20.00 now key.  Others I like: AX DDD (MACD) VMW  ,1,1,"[('NAN Spring', 'ORG'), ('SI', 'ORG'), ('20.00', 'CARDINAL'), ('VMW', 'ORG')]"
M ong M -  looking for Fridays highs - Hourly buy setting up,1,1,"[('Fridays', 'DATE')]"
"for the record, I do not like these highs in SPX, ES, NQ, IND. the air makes me nervous up here. seeing more SHOT pre-signals. ",-1,-1,"[('SPX', 'ORG'), ('ES', 'ORG'), ('NQ', 'GPE'), ('IND', 'GPE'), ('SHOT', 'ORDINAL')]"
VXY #FED POMOs flowing from ZB_F to GS JPM MS BAC - free cash to squeeze derivatives to pop markets to 1546 ES_F target,-1,1,"[('VXY #FED POMOs', 'ORG'), ('GS JPM MS', 'ORG'), ('1546', 'CARDINAL')]"
"Sensex Opens 173 Points Higher Amid Cautious Gains In Global Markets
https://t.co/UeXRpkRn4x",1,1,"[('173', 'CARDINAL')]"
"The coronavirus pandemic may or may not have saved HP from the clutches of Xerox. Either way, the PC and printer giâ€¦ https://t.co/j9VwY8VwpM",1,1,"[('HP', 'ORG'), ('Xerox', 'ORG')]"
GEVO uptrending from double bottom; 50 DMA crossing 200 DMA. Asc T/ = 20 DMA. Stop under 2.25  ,1,1,"[('50', 'CARDINAL'), ('200', 'CARDINAL'), ('20', 'CARDINAL'), ('2.25', 'CARDINAL')]"
"AAP sending a reminder to NOK,",-1,-1,"[('AAP', 'ORG')]"
"Sensex opens over 550 points lower, Nifty starts day below 8,400 amid weakness in global markets over coronavirus… https://t.co/DDOb3WKi5S",-1,-1,"[('over 550', 'CARDINAL'), ('8,400', 'CARDINAL')]"
NFX  Over 28.20 or 28.40  ,1,1,"[('NFX', 'ORG'), ('28.20', 'CARDINAL'), ('28.40', 'CARDINAL')]"
"CAT Caterpillar Machine etail Sales Drop Accelerates, ed by Asia  ",-1,1,"[('CAT Caterpillar Machine', 'ORG'), ('Asia', 'LOC')]"
Estimates to move lower for SAFM after EPS and a trend line break likely today with support at 47  ,-1,-1,"[('SAFM', 'ORG'), ('EPS', 'ORG'), ('today', 'DATE'), ('47', 'CARDINAL')]"
GPN Stock price finally broke out one of the most important resistances in the short term at 6.17   ,1,-1,"[('GPN Stock', 'ORG'), ('6.17', 'CARDINAL')]"
PCN up 8 points since this short call on ST - 700 so close - magic number will break it hard down same way did up - 10 more pts to go,-1,-1,"[('PCN', 'ORG'), ('8', 'CARDINAL')]"
"for the record, I do not like these highs in SPX, ES, NQ, IND. the air makes me nervous up here. seeing more SHOT pre-signals. ",-1,-1,"[('SPX', 'ORG'), ('ES', 'ORG'), ('NQ', 'GPE'), ('IND', 'GPE'), ('SHOT', 'ORDINAL')]"
user EMN Eastman Stoploss in 73.46 after beating 73.85. Eastman Stoploss en 73.46 tras batir 73.85,1,1,"[('EMN Eastman Stoploss', 'PERSON'), ('73.46', 'CARDINAL'), ('73.85', 'CARDINAL'), ('Eastman Stoploss', 'PERSON'), ('73.46', 'CARDINAL'), ('73.85', 'CARDINAL')]"
user: tour de AAP gap fill  ast gap of hope filled,-1,-1,[]
DDD also following through nicely from yesterday to the downside,-1,1,"[('DDD', 'ORG'), ('yesterday', 'DATE')]"
Zillow has almost doubled this year....so if you are raising money for charity might be smart to hit up user :)  Z,1,1,"[('Zillow', 'ORG'), ('this year', 'DATE')]"
AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,-1,-1,"[('AYI', 'ORG'), ('1st', 'DATE'), ('quarter', 'DATE'), ('quarter', 'CARDINAL'), ('Novemebr 2008', 'EVENT')]"
How Coronavirus Spread Through Corporate America https://t.co/hyy2tYTAGN,-1,-1,[]
"If AAP goes to over 451, I will go short. Still weak stock.",-1,-1,"[('AAP', 'ORG'), ('451', 'CARDINAL')]"
GOOG sold 1/2 of long position   ,1,1,"[('GOOG', 'ORG'), ('1/2', 'CARDINAL')]"
user wouldn't consider it until >27 minimum CF,-1,-1,"[('27', 'CARDINAL')]"
markets at the highs of the day. spy  ms still chopping around.  ridiculous.,-1,1,"[('the day', 'DATE')]"
HF entry 18.34 stop 17.55  ,1,1,"[('18.34', 'CARDINAL'), ('17.55', 'CARDINAL')]"
user I was early...but right on! thanks for lookin out ! ssys,-1,-1,"[('ssys', 'ORG')]"
"From Slowdown To Lockdown: Auto Makers See Steep Fall In March Sales
https://t.co/aRCyZy3wL0",-1,-1,"[('March', 'DATE')]"
Goldman drops EA from conviction-buy to buy  ,-1,-1,"[('Goldman', 'ORG'), ('EA', 'ORG')]"
sold 3/4 of AN +0.27 (+2.94%) - keeping 1/4 of position overnight,1,1,"[('3/4', 'CARDINAL'), ('AN +0.27', 'FAC'), ('+2.94%', 'PERCENT'), ('1/4', 'CARDINAL'), ('overnight', 'TIME')]"
PAN Caught an upgrade with 26% short interest..Breaking out here:  ,1,1,"[('PAN', 'ORG'), ('26%', 'PERCENT')]"
"Goodbye FAF, acting weak, I've never liked you anyway - NEXT",-1,-1,[]
"Rupee Sheds 1% To Hit Record Low Of 74.99 Versus Dollar Amid Virus Fear: 10 Points
https://t.co/tQu0q8AV1C",-1,-1,"[('1%', 'PERCENT'), ('10', 'CARDINAL')]"
X option trader appears to have put on 9k bearish put spreads in the Jul 20-13 puts against lower open interest in both strikes. Pos. hedge,-1,-1,"[('9k', 'CARDINAL'), ('Jul 20-13', 'DATE')]"
"KWK this one is heavily oversold here, think with the other players rallying massively this one is due for a big pop.  P XCO ECA NG",1,1,"[('KWK', 'PERSON'), ('P XCO', 'ORG'), ('ECA NG', 'ORG')]"
ssys if fundamentals matter... headed under 40. income is 10% sales. 40mil net inc. puts this at PE of 60 with stock at 60. doubt it,-1,-1,"[('ssys', 'ORG'), ('under 40', 'DATE'), ('10%', 'PERCENT'), ('40mil', 'DATE'), ('60', 'CARDINAL'), ('60', 'CARDINAL')]"
AAP #BOKEN STOCK,-1,1,"[('BOKEN STOCK', 'ORG')]"
AAP lets see if we say goodbye to 500 today.,-1,-1,"[('AAP', 'ORG'), ('500', 'CARDINAL'), ('today', 'DATE')]"
Definitely a major top/high in today on 3d printing.  back to show me period on this group.have an exit plan on rallies methinks DDD SSYS,-1,-1,"[('today', 'DATE'), ('DDD SSYS', 'PERSON')]"
AAP How an Internet-trained Apple analyst lost tens of millions of other peoples' money  ,-1,-1,"[('Apple', 'ORG'), ('tens of millions', 'MONEY')]"
"Very important day for JPM, it will interesting to see if it can break 50.11  ",1,1,"[('JPM', 'ORG'), ('50.11', 'CARDINAL')]"
Community lenders are having a tough time getting a piece of the $350 billion set aside under the SBAâ€™s Paycheck Prâ€¦ https://t.co/ayl6imT2D7,-1,-1,"[('$350 billion', 'MONEY'), ('SBAâ€', 'ORG'), ('Paycheck Prâ€', 'ORG')]"
PCN - long setup  ,1,1,"[('PCN', 'PERSON')]"
SWY - wow doing a number on the bears this week - scaled out of a little today,1,1,"[('this week', 'DATE'), ('today', 'DATE')]"
Today's game HF for the Icahn team and maybe a little bit of GPN in memory of Andrew !,1,1,"[('Today', 'DATE'), ('Icahn', 'ORG'), ('GPN', 'PERSON'), ('Andrew', 'PERSON')]"
"user: AAP lets go 425,  (sorry longs, im long also)// r iht 425 annd IF consolidate for 3-5 Week After Bullish",-1,-1,"[('AAP', 'ORG'), ('425', 'CARDINAL'), ('425', 'CARDINAL'), ('annd', 'ORG'), ('3-5 Week', 'DATE')]"
BAC p p Step By Step... esistance 11.65-67,1,1,"[('BAC p p Step By Step', 'ORG'), ('11.65', 'CARDINAL')]"
DGI DDD both acting strong ending at hod with decent volume at the end.,1,-1,"[('DGI DDD', 'PERSON'), ('hod', 'ORG')]"
SSYS postpone Q4 release from Feb to approx March 4th.,-1,1,"[('SSYS', 'ORG'), ('Feb', 'DATE'), ('March 4th', 'DATE')]"
"ADBE SHOT! will see around 17 - 20 very soon, 39 is to much for adbe, thanks and have a good day.",-1,-1,"[('17 - 20', 'CARDINAL'), ('39', 'DATE'), ('a good day', 'DATE')]"
"Sensex up over 400 points, Nifty touches 7,900 as markets rise 1% amid volatile trade; auto stocks lead gains #Sensex #Nifty #MarketUpdates",1,1,"[('7,900', 'CARDINAL'), ('1%', 'PERCENT'), ('#Sensex #Nifty', 'MONEY'), ('MarketUpdates', 'ORG')]"
VXY Short again - GS just downgraded volatility into June,-1,-1,"[('VXY', 'ORG'), ('June', 'DATE')]"
GEVO taking half off 2.29,1,1,"[('GEVO', 'ORG'), ('half', 'CARDINAL'), ('2.29', 'CARDINAL')]"
"APA good short and risk reward. As long as it stays under 75.50, it will be great.",-1,-1,"[('75.50', 'MONEY')]"
AAP BC Capital lowered price target to 600 from 725.  ,1,1,"[('AAP BC Capital', 'ORG'), ('600', 'CARDINAL'), ('725', 'CARDINAL')]"
BAC anyone think this might slush and fall below 11 today?,-1,-1,"[('11', 'CARDINAL'), ('today', 'DATE')]"
PCN further bookings acceleration could drive multiple expansion going forward  ,1,1,"[('PCN', 'ORG')]"
AMZN short 275.13,-1,-1,"[('AMZN', 'ORG'), ('275.13', 'CARDINAL')]"
"Green Weekly Triangle on CYTX,....Sell Short at 3.02  ",-1,-1,"[('Green Weekly Triangle', 'ORG'), ('3.02', 'CARDINAL')]"
NFX BOOM,1,-1,"[('NFX', 'ORG')]"
user: AAP lol pin at 450 O indeed,1,-1,"[('AAP', 'ORG'), ('450', 'CARDINAL')]"
"RT @Birdyword: Ironically, the surge in the price of gold is largely because the market expects the Fed's recent measures to be successful.â€¦",1,1,"[('Fed', 'ORG')]"
AAP really looked like a B trap fri- to open.. Trade Strong,1,1,"[('AAP', 'ORG')]"
CW long here 3.22,1,1,"[('CW', 'ORG'), ('3.22', 'CARDINAL')]"
CAT being a major thorn in my side today. Me being short that is.,-1,-1,"[('CAT', 'ORG'), ('today', 'DATE')]"
"GOOG short, moving slower than I expected, covered a little more here around 807.50, 809.20 stop now",-1,-1,"[('GOOG', 'ORG'), ('807.50', 'CARDINAL'), ('809.20', 'CARDINAL')]"
NGT Nice bounce off gap fill... good to reshort into JPM move,-1,1,"[('NGT Nice', 'ORG'), ('JPM', 'ORG')]"
